Layout,Device,DieX,DieY,LayoutX,LayoutY,ReticleDieX,ReticleDieY,Reticle,Columns,Concentric,Grid,Radial,Rows,Sectors,ReticleShot,Radius
8PF6CV,8PF6CV,10,14,-4,2,1,1,5,A,C,C,A,C,D,SR_X-4Y2,102.77445
8PF6CV,8PF6CV,11,13,-4,2,2,0,3,A,B,C,A,C,D,SR_X-4Y2,88.38186
8PF6CV,8PF6CV,11,14,-4,2,2,1,6,A,C,C,A,C,D,SR_X-4Y2,97.40327
8PF6CV,8PF6CV,9,13,-4,2,0,0,1,A,C,C,A,C,D,SR_X-4Y2,100.27577
8PF6CV,8PF6CV,9,16,-4,3,0,1,4,A,D,C,C,D,C,SR_X-4Y3,128.53004
8PF6CV,8PF6CV,10,15,-4,3,1,0,2,A,C,C,C,D,D,SR_X-4Y3,112.7719
8PF6CV,8PF6CV,10,16,-4,3,1,1,5,A,D,C,C,D,C,SR_X-4Y3,123.90031
8PF6CV,8PF6CV,11,15,-4,3,2,0,3,A,C,C,C,D,C,SR_X-4Y3,107.89954
8PF6CV,8PF6CV,11,16,-4,3,2,1,6,A,D,C,C,D,C,SR_X-4Y3,119.48262
8PF6CV,8PF6CV,9,15,-4,3,0,0,1,A,D,C,C,D,D,SR_X-4Y3,117.83968
8PF6CV,8PF6CV,10,17,-4,4,1,0,2,A,E,C,C,D,C,SR_X-4Y4,135.88208
8PF6CV,8PF6CV,11,17,-4,4,2,0,3,A,D,C,C,D,C,SR_X-4Y4,131.86641
8PF6CV,8PF6CV,9,17,-4,4,0,0,1,A,E,C,C,D,C,SR_X-4Y4,140.11647
8PF6CV,8PF6CV,12,2,-3,-4,0,1,4,B,E,A,D,A,F,SR_X-3Y-4,141.41632
8PF6CV,8PF6CV,13,2,-3,-4,1,1,5,B,E,A,D,A,F,SR_X-3Y-4,138.24028
8PF6CV,8PF6CV,14,2,-3,-4,2,1,6,B,D,A,D,A,F,SR_X-3Y-4,135.3354
8PF6CV,8PF6CV,12,4,-3,-3,0,1,4,B,C,A,D,A,F,SR_X-3Y-3,115.30135
8PF6CV,8PF6CV,13,3,-3,-3,1,0,2,B,D,A,D,A,F,SR_X-3Y-3,124.57468
8PF6CV,8PF6CV,13,4,-3,-3,1,1,5,B,C,A,D,A,F,SR_X-3Y-3,111.38312
8PF6CV,8PF6CV,14,3,-3,-3,2,0,3,B,D,A,D,A,F,SR_X-3Y-3,121.34309
8PF6CV,8PF6CV,14,4,-3,-3,2,1,6,B,C,A,A,A,F,SR_X-3Y-3,107.75663
8PF6CV,8PF6CV,12,3,-3,-3,0,0,1,B,D,A,D,A,F,SR_X-3Y-3,128.09003
8PF6CV,8PF6CV,12,6,-3,-2,0,1,4,B,B,A,A,B,E,SR_X-3Y-2,92.22636
8PF6CV,8PF6CV,13,5,-3,-2,1,0,2,B,C,A,A,B,F,SR_X-3Y-2,98.85552
8PF6CV,8PF6CV,13,6,-3,-2,1,1,5,B,B,A,A,B,E,SR_X-3Y-2,87.27829
8PF6CV,8PF6CV,14,5,-3,-2,2,0,3,B,B,A,A,B,F,SR_X-3Y-2,94.75077
8PF6CV,8PF6CV,14,6,-3,-2,2,1,6,B,B,A,A,B,F,SR_X-3Y-2,82.6002
8PF6CV,8PF6CV,12,5,-3,-2,0,0,1,B,C,A,A,B,F,SR_X-3Y-2,103.25026
8PF6CV,8PF6CV,12,8,-3,-1,0,1,4,B,B,A,A,B,E,SR_X-3Y-1,75.04987
8PF6CV,8PF6CV,13,7,-3,-1,1,0,2,B,B,A,A,B,E,SR_X-3Y-1,77.08084
8PF6CV,8PF6CV,13,8,-3,-1,1,1,5,B,B,A,A,B,E,SR_X-3Y-1,68.87875
8PF6CV,8PF6CV,14,7,-3,-1,2,0,3,B,B,A,A,B,E,SR_X-3Y-1,71.74085
8PF6CV,8PF6CV,14,8,-3,-1,2,1,6,B,A,A,A,B,E,SR_X-3Y-1,62.84565
8PF6CV,8PF6CV,12,7,-3,-1,0,0,1,B,B,A,A,B,E,SR_X-3Y-1,82.64174
8PF6CV,8PF6CV,12,10,-3,0,0,1,4,B,B,C,A,C,D,SR_X-3Y0,68.37209
8PF6CV,8PF6CV,13,9,-3,0,1,0,2,B,A,A,A,B,E,SR_X-3Y0,63.45058
8PF6CV,8PF6CV,13,10,-3,0,1,1,5,B,A,C,A,C,D,SR_X-3Y0,61.53489
8PF6CV,8PF6CV,14,9,-3,0,2,0,3,B,A,A,A,B,E,SR_X-3Y0,56.84426
8PF6CV,8PF6CV,14,10,-3,0,2,1,6,B,A,C,A,C,D,SR_X-3Y0,54.69767
8PF6CV,8PF6CV,12,9,-3,0,0,0,1,B,B,A,A,B,E,SR_X-3Y0,70.1012
8PF6CV,8PF6CV,12,12,-3,1,0,1,4,B,B,C,A,C,D,SR_X-3Y1,75.04987
8PF6CV,8PF6CV,13,11,-3,1,1,0,2,B,A,C,A,C,D,SR_X-3Y1,63.45058
8PF6CV,8PF6CV,13,12,-3,1,1,1,5,B,B,C,A,C,D,SR_X-3Y1,68.87875
8PF6CV,8PF6CV,14,11,-3,1,2,0,3,B,A,C,A,C,D,SR_X-3Y1,56.84426
8PF6CV,8PF6CV,14,12,-3,1,2,1,6,B,A,C,A,C,D,SR_X-3Y1,62.84565
8PF6CV,8PF6CV,12,11,-3,1,0,0,1,B,B,C,A,C,D,SR_X-3Y1,70.1012
8PF6CV,8PF6CV,12,14,-3,2,0,1,4,B,B,C,A,C,D,SR_X-3Y2,92.22636
8PF6CV,8PF6CV,13,13,-3,2,1,0,2,B,B,C,A,C,D,SR_X-3Y2,77.08084
8PF6CV,8PF6CV,13,14,-3,2,1,1,5,B,B,C,A,C,D,SR_X-3Y2,87.27829
8PF6CV,8PF6CV,14,13,-3,2,2,0,3,B,B,C,A,C,D,SR_X-3Y2,71.74085
8PF6CV,8PF6CV,14,14,-3,2,2,1,6,B,B,C,A,C,C,SR_X-3Y2,82.6002
8PF6CV,8PF6CV,12,13,-3,2,0,0,1,B,B,C,A,C,D,SR_X-3Y2,82.64174
8PF6CV,8PF6CV,12,16,-3,3,0,1,4,B,C,C,C,D,C,SR_X-3Y3,115.30135
8PF6CV,8PF6CV,13,15,-3,3,1,0,2,B,C,C,A,D,C,SR_X-3Y3,98.85552
8PF6CV,8PF6CV,13,16,-3,3,1,1,5,B,C,C,C,D,C,SR_X-3Y3,111.38312
8PF6CV,8PF6CV,14,15,-3,3,2,0,3,B,C,C,A,D,C,SR_X-3Y3,94.75077
8PF6CV,8PF6CV,14,16,-3,3,2,1,6,B,C,C,C,D,C,SR_X-3Y3,107.75663
8PF6CV,8PF6CV,12,15,-3,3,0,0,1,B,C,C,A,D,C,SR_X-3Y3,103.25026
8PF6CV,8PF6CV,13,17,-3,4,1,0,2,B,D,C,C,D,C,SR_X-3Y4,124.57468
8PF6CV,8PF6CV,13,18,-3,4,1,1,5,B,E,C,C,D,C,SR_X-3Y4,138.24028
8PF6CV,8PF6CV,14,17,-3,4,2,0,3,B,D,C,C,D,C,SR_X-3Y4,121.34309
8PF6CV,8PF6CV,14,18,-3,4,2,1,6,B,D,C,C,D,C,SR_X-3Y4,135.3354
8PF6CV,8PF6CV,12,17,-3,4,0,0,1,B,D,C,C,D,C,SR_X-3Y4,128.09003
8PF6CV,8PF6CV,15,2,-2,-4,0,1,4,B,D,A,D,A,F,SR_X-2Y-4,132.71947
8PF6CV,8PF6CV,16,2,-2,-4,1,1,5,B,D,A,D,A,F,SR_X-2Y-4,130.4099
8PF6CV,8PF6CV,17,1,-2,-4,2,0,3,B,E,A,D,A,F,SR_X-2Y-4,143.39775
8PF6CV,8PF6CV,17,2,-2,-4,2,1,6,B,D,A,D,A,F,SR_X-2Y-4,128.4232
8PF6CV,8PF6CV,15,4,-2,-3,0,1,4,B,C,A,A,A,F,SR_X-2Y-3,104.45229
8PF6CV,8PF6CV,16,3,-2,-3,1,0,2,B,C,A,D,A,F,SR_X-2Y-3,115.82408
