WAT naming,Device naming,Spec High,Target,Spec Low,Unit,NVL816,Naming1,Naming2,Naming
Poff_RJ4A,Poff H156_W32 uLL,,0.000000698,,W,V,H156_W32,uLL,Poff H156_W32 uLL
Td_RJ4A,RO H156_W32 uLL,,5.95,,ps,V,H156_W32,uLL,RO H156_W32 uLL
Pwr_RJ4A,Pwr H156_W32 uLL,,0.000251,,W,V,H156_W32,uLL,Pwr H156_W32 uLL
Poff_RJ4L,Poff H156_W32 LVT,,0.000000232,,W,V,H156_W32,LVT,Poff H156_W32 LVT
Td_RJ4L,RO H156_W32 LVT,,6.55,,ps,V,H156_W32,LVT,RO H156_W32 LVT
Pwr_RJ4L,Pwr H156_W32 LVT,,0.000215,,W,V,H156_W32,LVT,Pwr H156_W32 LVT
Poff_RJ4B,Poff H156_W32 LLL,,0.0000000838,,W,V,H156_W32,LLL,Poff H156_W32 LLL
Td_RJ4B,RO H156_W32 LLL,,7.38,,ps,V,H156_W32,LLL,RO H156_W32 LLL
Pwr_RJ4B,Pwr H156_W32 LLL,,0.000185,,W,V,H156_W32,LLL,Pwr H156_W32 LLL
Poff_RJ4S,Poff H156_W32 SVT,,0.0000000384,,W,V,H156_W32,SVT,Poff H156_W32 SVT
Td_RJ4S,RO H156_W32 SVT,,8.5,,ps,V,H156_W32,SVT,RO H156_W32 SVT
Pwr_RJ4S,Pwr H156_W32 SVT,,0.000158,,W,V,H156_W32,SVT,Pwr H156_W32 SVT
Poff_RK4e,Poff H156_NPN eLV,,0.0000115,,W,,H156_NPN,eLV,Poff H156_NPN eLV
Td_RK4e,RO H156_NPN eLV,,4.78,,ps,,H156_NPN,eLV,RO H156_NPN eLV
Pwr_RK4e,Pwr H156_NPN eLV,,0.000419,,W,,H156_NPN,eLV,Pwr H156_NPN eLV
Poff_RK4u,Poff H156_NPN uLV,,0.00000341,,W,V,H156_NPN,uLV,Poff H156_NPN uLV
Td_RK4u,RO H156_NPN uLV,,5.21,,ps,V,H156_NPN,uLV,RO H156_NPN uLV
Pwr_RK4u,Pwr H156_NPN uLV,,0.000335,,W,V,H156_NPN,uLV,Pwr H156_NPN uLV
Poff_RK4A,Poff H156_NPN uLL,,0.000000999,,W,,H156_NPN,uLL,Poff H156_NPN uLL
Td_RK4A,RO H156_NPN uLL,,5.7,,ps,,H156_NPN,uLL,RO H156_NPN uLL
Pwr_RK4A,Pwr H156_NPN uLL,,0.000277,,W,,H156_NPN,uLL,Pwr H156_NPN uLL
Poff_RK4L,Poff H156_NPN LVT,,0.00000034,,W,,H156_NPN,LVT,Poff H156_NPN LVT
Td_RK4L,RO H156_NPN LVT,,6.33,,ps,,H156_NPN,LVT,RO H156_NPN LVT
Pwr_RK4L,Pwr H156_NPN LVT,,0.000235,,W,,H156_NPN,LVT,Pwr H156_NPN LVT
Poff_RK4B,Poff H156_NPN LLL,,0.000000118,,W,,H156_NPN,LLL,Poff H156_NPN LLL
Td_RK4B,RO H156_NPN LLL,,7.14,,ps,,H156_NPN,LLL,RO H156_NPN LLL
Pwr_RK4B,Pwr H156_NPN LLL,,0.000201,,W,,H156_NPN,LLL,Pwr H156_NPN LLL
Poff_RK4S,Poff H156_NPN SVT,,0.0000000501,,W,,H156_NPN,SVT,Poff H156_NPN SVT
Td_RK4S,RO H156_NPN SVT,,8.25,,ps,,H156_NPN,SVT,RO H156_NPN SVT
Pwr_RK4S,Pwr H156_NPN SVT,,0.000171,,W,,H156_NPN,SVT,Pwr H156_NPN SVT
Cmim_F1,-Cmim_F1,262,216,170,fF/SQ,V,,,-Cmim_F1
Con_M0LA,-Con_M0LA,13.25,10,6.75,ohm/sq,V,,uLL,-Con_M0LA
Con_M0LB,-Con_M0LB,13.25,10,6.75,ohm/sq,V,,LLL,-Con_M0LB
Con_M1,-Con_M1,2.399,1.82,1.24,ohm/sq,V,,,-Con_M1
Con_M10,-Con_M10,0.813,0.6195,0.426,ohm/sq,V,,,-Con_M10
Con_M11,-Con_M11,0.813,0.6195,0.426,ohm/sq,V,,,-Con_M11
Con_M12,-Con_M12,0.813,0.6195,0.426,ohm/sq,V,,,-Con_M12
Con_M13,-Con_M13,0.3635,0.287,0.2105,ohm/sq,V,,,-Con_M13
Con_M14,-Con_M14,0.3635,0.287,0.2105,ohm/sq,V,,,-Con_M14
Con_M15,-Con_M15,0.3635,0.287,0.2105,ohm/sq,V,,,-Con_M15
Con_M16,-Con_M16,0.3635,0.287,0.2105,ohm/sq,V,,,-Con_M16
Con_M17,-Con_M17,0.139,0.1065,0.074,ohm/sq,V,,,-Con_M17
Con_M18,-Con_M18,0.139,0.1065,0.074,ohm/sq,V,,,-Con_M18
Con_M2LA,-Con_M2LA,5.275,4.04,2.805,ohm/sq,V,,uLL,-Con_M2LA
Con_M2LB,-Con_M2LB,5.275,4.04,2.805,ohm/sq,V,,LLL,-Con_M2LB
Con_M3,-Con_M3,3.246,2.55,1.854,ohm/sq,V,,,-Con_M3
Con_M4,-Con_M4,3.895,3.0595,2.224,ohm/sq,V,,,-Con_M4
Con_M5LA,-Con_M5LA,2.12,1.6,1.08,ohm/sq,V,,uLL,-Con_M5LA
Con_M5LB,-Con_M5LB,2.12,1.6,1.08,ohm/sq,V,,LLL,-Con_M5LB
Con_M6,-Con_M6,1.154,0.8795,0.605,ohm/sq,V,,,-Con_M6
Con_M7,-Con_M7,0.813,0.6195,0.426,ohm/sq,V,,,-Con_M7
Con_M8,-Con_M8,0.813,0.6195,0.426,ohm/sq,V,,,-Con_M8
Con_M9,-Con_M9,0.813,0.6195,0.426,ohm/sq,V,,,-Con_M9
Con_TM1,-Con_TM1,0.0221,0.018,0.0142,ohm/sq,V,,,-Con_TM1
Con_TM2,-Con_TM2,0.0099,0.008,0.0061,ohm/sq,V,,,-Con_TM2
